tripid,hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,dayType,mainmode,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group,hhpoststratweight,trippoststratweight
Y24H5740128P05T02,Y24H5740128,Y24H5740128P05,17,1051,17,1058,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,2055.933027693
Y24H5740129P03T01,Y24H5740129,Y24H5740129P03,8,491,8,532,41,42.83731,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T02,Y24H5740129,Y24H5740129P03,9,568,9,586,18,15.97077,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T03,Y24H5740129,Y24H5740129P03,10,619,10,631,12,7.65133,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T04,Y24H5740129,Y24H5740129P03,10,642,10,656,14,7.81032,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T05,Y24H5740129,Y24H5740129P03,11,671,11,684,13,7.12071,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T06,Y24H5740129,Y24H5740129P03,11,702,11,703,1,1.30458,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T07,Y24H5740129,Y24H5740129P03,11,713,12,734,21,11.22358,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T08,Y24H5740129,Y24H5740129P03,12,759,12,772,13,10.78356,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T09,Y24H5740129,Y24H5740129P03,13,785,13,807,22,20.3206,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T10,Y24H5740129,Y24H5740129P03,18,1100,18,1111,11,8.61913,Work,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T11,Y24H5740129,Y24H5740129P03,19,1164,19,1173,9,4.45987,Recreational,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740129P03T12,Y24H5740129,Y24H5740129P03,19,1177,19,1183,6,4.56295,Recreational,Weekday,Private,3.0,Casey (C),13.0,13.0,943.6600754,734.497298419
Y24H5740131P01T01,Y24H5740131,Y24H5740131P01,18,1095,19,1185,90,80.73453,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,833.181207918
Y24H5740131P01T02,Y24H5740131,Y24H5740131P01,21,1310,22,1320,10,1.48545,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,833.181207918
Y24H5740131P02T01,Y24H5740131,Y24H5740131P02,6,410,7,420,10,1.48545,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,946.335436235
Y24H5740131P02T02,Y24H5740131,Y24H5740131P02,7,420,8,480,60,20.43636,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,946.335436235
Y24H5740131P02T03,Y24H5740131,Y24H5740131P02,16,1005,17,1035,30,20.17096,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,946.335436235
