tripid,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10
Y24H6200339P01T03,549.597118305,596.877476781,557.286403542,852.666042547,0.0,595.545455656,601.667761134,474.008933228,809.053526669,774.816033653,452.828962223
Y24H6200339P01T04,549.597118305,596.877476781,557.286403542,852.666042547,0.0,595.545455656,601.667761134,474.008933228,809.053526669,774.816033653,452.828962223
Y24H6200339P02T01,337.42305379,373.405339948,342.377586911,387.268408994,0.0,346.567826947,356.840445495,343.440264056,527.508163237,405.562071168,302.580722865
Y24H6200339P02T02,337.42305379,373.405339948,342.377586911,387.268408994,0.0,346.567826947,356.840445495,343.440264056,527.508163237,405.562071168,302.580722865
Y24H6200339P02T03,337.42305379,373.405339948,342.377586911,387.268408994,0.0,346.567826947,356.840445495,343.440264056,527.508163237,405.562071168,302.580722865
Y24H6200339P02T04,337.42305379,373.405339948,342.377586911,387.268408994,0.0,346.567826947,356.840445495,343.440264056,527.508163237,405.562071168,302.580722865
Y24H6200340P01T01,470.499644528,568.433786309,477.93596908,452.716421262,0.0,458.613076267,474.827129223,535.17186786,707.371304719,539.725354457,366.418165388
Y24H6200340P01T02,470.499644528,568.433786309,477.93596908,452.716421262,0.0,458.613076267,474.827129223,535.17186786,707.371304719,539.725354457,366.418165388
Y24H6200340P02T01,657.535182301,804.228207653,670.841405926,620.947980409,0.0,644.298987527,799.658032009,669.064699748,983.849675533,693.698955553,571.113362724
Y24H6200340P02T02,657.535182301,804.228207653,670.841405926,620.947980409,0.0,644.298987527,799.658032009,669.064699748,983.849675533,693.698955553,571.113362724
Y24H6200340P02T03,657.535182301,804.228207653,670.841405926,620.947980409,0.0,644.298987527,799.658032009,669.064699748,983.849675533,693.698955553,571.113362724
Y24H6200341P01T01,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T02,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T03,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T04,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T05,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T06,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T07,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T08,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P01T09,375.896295059,445.210742196,379.810755147,476.488934036,0.0,472.757130167,404.412142551,297.552166278,509.58636804,458.554868483,403.654996672
Y24H6200341P02T01,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T02,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T03,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T04,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T05,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T06,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T07,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T08,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P02T09,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354
Y24H6200341P03T01,304.861140843,311.063078815,301.291620035,344.081267144,0.0,405.533407,326.157388147,244.896410857,441.66948132,394.493945928,310.101180404
Y24H6200341P03T02,304.861140843,311.063078815,301.291620035,344.081267144,0.0,405.533407,326.157388147,244.896410857,441.66948132,394.493945928,310.101180404
Y24H6200341P04T01,615.995741158,706.868778187,612.138929463,702.291215886,0.0,863.691282969,730.984701866,539.120622497,643.704580896,832.937844358,671.893736845
Y24H6200341P04T02,615.995741158,706.868778187,612.138929463,702.291215886,0.0,863.691282969,730.984701866,539.120622497,643.704580896,832.937844358,671.893736845
Y24H6200341P04T03,615.995741158,706.868778187,612.138929463,702.291215886,0.0,863.691282969,730.984701866,539.120622497,643.704580896,832.937844358,671.893736845
Y24H6200341P04T04,615.995741158,706.868778187,612.138929463,702.291215886,0.0,863.691282969,730.984701866,539.120622497,643.704580896,832.937844358,671.893736845
Y24H6200405P01T01,4309.94296775,4275.074252072,0.0,4425.734093073,4962.193943187,4863.435942844,4945.33194413,4436.238069045,3976.507562998,3956.279147887,4745.56130461
Y24H6200405P01T02,4309.94296775,4275.074252072,0.0,4425.734093073,4962.193943187,4863.435942844,4945.33194413,4436.238069045,3976.507562998,3956.279147887,4745.56130461
Y24H6200405P01T03,4309.94296775,4275.074252072,0.0,4425.734093073,4962.193943187,4863.435942844,4945.33194413,4436.238069045,3976.507562998,3956.279147887,4745.56130461
Y24H6200405P01T04,4309.94296775,4275.074252072,0.0,4425.734093073,4962.193943187,4863.435942844,4945.33194413,4436.238069045,3976.507562998,3956.279147887,4745.56130461
Y24H6200405P01T05,4309.94296775,4275.074252072,0.0,4425.734093073,4962.193943187,4863.435942844,4945.33194413,4436.238069045,3976.507562998,3956.279147887,4745.56130461
Y24H6200405P01T06,4309.94296775,4275.074252072,0.0,4425.734093073,4962.193943187,4863.435942844,4945.33194413,4436.238069045,3976.507562998,3956.279147887,4745.56130461
Y24H6200405P02T01,5069.865520223,4985.933187246,0.0,5315.428000672,5527.792445299,5933.734528892,5955.707531631,4813.934161959,4789.336687701,4633.225438257,5742.886404753
Y24H6200405P02T02,5069.865520223,4985.933187246,0.0,5315.428000672,5527.792445299,5933.734528892,5955.707531631,4813.934161959,4789.336687701,4633.225438257,5742.886404753
Y24H6200405P03T01,2912.808658085,3051.810413759,0.0,2850.874648621,3052.178374991,3443.416627776,3106.418832554,2798.641381949,2666.695053916,2978.391230948,3512.895735033
Y24H6200405P03T02,2912.808658085,3051.810413759,0.0,2850.874648621,3052.178374991,3443.416627776,3106.418832554,2798.641381949,2666.695053916,2978.391230948,3512.895735033
Y24H6200405P03T03,2912.808658085,3051.810413759,0.0,2850.874648621,3052.178374991,3443.416627776,3106.418832554,2798.641381949,2666.695053916,2978.391230948,3512.895735033
Y24H6200405P03T04,2912.808658085,3051.810413759,0.0,2850.874648621,3052.178374991,3443.416627776,3106.418832554,2798.641381949,2666.695053916,2978.391230948,3512.895735033
Y24H6200405P05T01,3366.425173397,3406.032738041,0.0,3457.975886814,3532.742182843,3789.937612752,3574.729698774,3102.681638259,3590.185502186,3390.503153503,4148.467325208
Y24H6200405P05T02,3366.425173397,3406.032738041,0.0,3457.975886814,3532.742182843,3789.937612752,3574.729698774,3102.681638259,3590.185502186,3390.503153503,4148.467325208
Y24H6200405P05T03,3366.425173397,3406.032738041,0.0,3457.975886814,3532.742182843,3789.937612752,3574.729698774,3102.681638259,3590.185502186,3390.503153503,4148.467325208
Y24H6200405P05T04,3366.425173397,3406.032738041,0.0,3457.975886814,3532.742182843,3789.937612752,3574.729698774,3102.681638259,3590.185502186,3390.503153503,4148.467325208
Y24H6200405P05T05,3366.425173397,3406.032738041,0.0,3457.975886814,3532.742182843,3789.937612752,3574.729698774,3102.681638259,3590.185502186,3390.503153503,4148.467325208
Y24H6200405P05T06,3366.425173397,3406.032738041,0.0,3457.975886814,3532.742182843,3789.937612752,3574.729698774,3102.681638259,3590.185502186,3390.503153503,4148.467325208
Y24H6200405P06T01,3431.229044399,3474.955789599,0.0,3465.369220201,3743.730856396,3815.356906904,3602.979609095,3457.317779902,3578.195390624,3459.404020725,4071.331307787
Y24H6200405P06T02,3431.229044399,3474.955789599,0.0,3465.369220201,3743.730856396,3815.356906904,3602.979609095,3457.317779902,3578.195390624,3459.404020725,4071.331307787
Y24H6200405P06T03,3431.229044399,3474.955789599,0.0,3465.369220201,3743.730856396,3815.356906904,3602.979609095,3457.317779902,3578.195390624,3459.404020725,4071.331307787
Y24H6200405P06T04,3431.229044399,3474.955789599,0.0,3465.369220201,3743.730856396,3815.356906904,3602.979609095,3457.317779902,3578.195390624,3459.404020725,4071.331307787
Y24H6200405P06T05,3431.229044399,3474.955789599,0.0,3465.369220201,3743.730856396,3815.356906904,3602.979609095,3457.317779902,3578.195390624,3459.404020725,4071.331307787
Y24H6200405P06T06,3431.229044399,3474.955789599,0.0,3465.369220201,3743.730856396,3815.356906904,3602.979609095,3457.317779902,3578.195390624,3459.404020725,4071.331307787
Y24H6200406P01T01,2795.844923673,3274.104167743,0.0,2730.928238544,2751.248417743,3140.220166084,2604.956771364,4055.583061997,3106.696128935,2990.609880394,3257.207296759
Y24H6200406P01T02,2795.844923673,3274.104167743,0.0,2730.928238544,2751.248417743,3140.220166084,2604.956771364,4055.583061997,3106.696128935,2990.609880394,3257.207296759
Y24H6200406P02T01,2594.717210956,2897.67076687,0.0,2556.642333567,2400.246302563,3017.502122039,2863.235901506,2848.45020862,2981.823209802,2848.054357373,2985.384850838
Y24H6200406P02T02,2594.717210956,2897.67076687,0.0,2556.642333567,2400.246302563,3017.502122039,2863.235901506,2848.45020862,2981.823209802,2848.054357373,2985.384850838
Y24H6200406P02T03,2594.717210956,2897.67076687,0.0,2556.642333567,2400.246302563,3017.502122039,2863.235901506,2848.45020862,2981.823209802,2848.054357373,2985.384850838
Y24H6200406P02T04,2594.717210956,2897.67076687,0.0,2556.642333567,2400.246302563,3017.502122039,2863.235901506,2848.45020862,2981.823209802,2848.054357373,2985.384850838
Y24H6200406P03T01,3151.53658548,3359.146259398,0.0,3125.912396887,2905.307462278,3592.252751686,3208.216395227,3627.002319676,3391.664514198,3425.305725991,3758.114839252
Y24H6200406P03T02,3151.53658548,3359.146259398,0.0,3125.912396887,2905.307462278,3592.252751686,3208.216395227,3627.002319676,3391.664514198,3425.305725991,3758.114839252
Y24H6200406P04T01,3126.101523331,3328.314773531,0.0,3101.609106545,2880.820705654,3564.790453755,3180.026534992,3598.987167105,3365.395665795,3398.677792751,3731.015034008
Y24H6200406P04T02,3126.101523331,3328.314773531,0.0,3101.609106545,2880.820705654,3564.790453755,3180.026534992,3598.987167105,3365.395665795,3398.677792751,3731.015034008
Y24H6200410P01T01,1937.63906947,1888.310201432,0.0,1793.608719816,2013.355719834,2079.025060087,2141.778841173,1947.381954695,2124.127258678,2547.658992484,2100.896885391
