hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6156204,Y24H6156204P01,6,407,6,419,12.0,0.75623,Work,250.184791032,Weekday,Active,0.0,City,117.4809989,5,5
Y24H6156204,Y24H6156204P01,15,938,15,954,16.0,0.75623,Work,250.184791032,Weekday,Active,0.0,City,117.4809989,5,5
Y24H6156223,Y24H6156223P02,8,520,8,537,17.0,1.23609,Work,90.412436027,Weekday,Active,2.0,City,121.5313463,11,11
Y24H6156223,Y24H6156223P02,16,996,16,1013,17.0,1.23607,Work,90.412436027,Weekday,Active,2.0,City,121.5313463,11,11
Y24H6156224,Y24H6156224P02,7,478,8,487,9.0,2.56773,Recreational,104.041662389,Weekday,Active,2.0,City,107.2795429,10,10
Y24H6156224,Y24H6156224P02,8,518,9,544,26.0,2.56763,Recreational,104.041662389,Weekday,Active,2.0,City,107.2795429,10,10
Y24H6156236,Y24H6156236P02,8,502,8,514,12.0,2.21923,Work,70.392846332,Weekday,Active,2.0,City,94.62124634,14,14
Y24H6156236,Y24H6156236P02,17,1043,17,1047,4.0,2.07815,Work,70.392846332,Weekday,Active,2.0,City,94.62124634,14,14
Y24H6156236,Y24H6156236P02,21,1308,21,1314,6.0,2.6647,Work,70.392846332,Weekday,Active,2.0,City,94.62124634,14,14
Y24H6156236,Y24H6156236P02,22,1331,22,1340,9.0,2.21923,Work,70.392846332,Weekday,Active,2.0,City,94.62124634,14,14
Y24H6160109,Y24H6160109P02,19,1140,19,1155,15.0,0.36487,Work,568.764324821,Weekday,Active,2.0,Shire,874.8791926,8,8
Y24H6160109,Y24H6160109P02,19,1155,19,1170,15.0,0.36487,Work,568.764324821,Weekday,Active,2.0,Shire,874.8791926,8,8
Y24H6160139,Y24H6160139P01,12,730,12,742,12.0,2.70414,Recreational,1189.724391262,Weekday,Active,2.0,Shire,1288.769985,12,12
Y24H6160139,Y24H6160139P01,12,742,12,755,13.0,2.70414,Recreational,1189.724391262,Weekday,Active,2.0,Shire,1288.769985,12,12
Y24H6160139,Y24H6160139P02,7,420,8,480,60.0,4.60253,Recreational,1562.789123236,Weekday,Active,2.0,Shire,1288.769985,12,12
Y24H6160139,Y24H6160139P02,8,480,9,540,60.0,4.60253,Recreational,1562.789123236,Weekday,Active,2.0,Shire,1288.769985,12,12
Y24H6160214,Y24H6160214P02,10,626,10,634,8.0,0.4213,Recreational,773.111124254,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160214,Y24H6160214P02,11,660,11,669,9.0,0.42122,Recreational,773.111124254,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160214,Y24H6160214P03,10,626,10,634,8.0,0.42122,Recreational,760.509030622,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160214,Y24H6160214P03,11,660,11,669,9.0,0.42122,Recreational,760.509030622,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160214,Y24H6160214P04,10,626,10,634,8.0,0.4213,Recreational,969.125694291,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160214,Y24H6160214P04,11,660,11,669,9.0,0.42122,Recreational,969.125694291,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160214,Y24H6160214P05,10,626,10,634,8.0,0.4213,Recreational,967.169724564,Weekend,Active,1.0,City,870.3492851,18,18
