hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5740135,Y24H5740135P01,14,840,14,850,10.0,0.45935,Recreational,1716.889554007,Weekend,Active,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P01,14,850,14,860,10.0,0.45935,Recreational,1716.889554007,Weekend,Active,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P02,8,510,8,516,6.0,3.92445,Recreational,1264.225562462,Weekend,Private,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P02,10,636,10,642,6.0,3.92445,Recreational,1264.225562462,Weekend,Private,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P03,14,840,14,850,10.0,0.45935,Recreational,1594.458749404,Weekend,Active,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P03,14,850,14,860,10.0,0.45935,Recreational,1594.458749404,Weekend,Active,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P04,14,840,14,850,10.0,0.45935,Recreational,1495.949232812,Weekend,Active,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P04,14,850,14,860,10.0,0.45935,Recreational,1495.949232812,Weekend,Active,2.0,City,1189.321781,17,17
Y24H5740305,Y24H5740305P01,10,634,11,706,72.0,6.17478,Recreational,1078.703085594,Weekday,Active,1.0,City,1160.296249,14,14
Y24H5740305,Y24H5740305P01,13,797,14,869,72.0,6.17478,Recreational,1078.703085594,Weekday,Active,1.0,City,1160.296249,14,14
Y24H5740305,Y24H5740305P01,15,956,16,963,7.0,0.50783,Recreational,1078.703085594,Weekday,Active,1.0,City,1160.296249,14,14
Y24H5740305,Y24H5740305P01,16,980,16,987,7.0,0.50783,Recreational,1078.703085594,Weekday,Active,1.0,City,1160.296249,14,14
Y24H5740305,Y24H5740305P01,18,1091,18,1097,6.0,0.45924,Recreational,1078.703085594,Weekday,Active,1.0,City,1160.296249,14,14
Y24H5740305,Y24H5740305P01,21,1273,21,1283,10.0,0.45924,Recreational,1078.703085594,Weekday,Active,1.0,City,1160.296249,14,14
Y24H5740309,Y24H5740309P01,13,819,13,828,9.0,0.61828,Recreational,650.229827515,Weekday,Active,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P01,14,840,14,842,2.0,0.09066,Recreational,650.229827515,Weekday,Active,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P01,14,881,14,888,7.0,0.53744,Recreational,650.229827515,Weekday,Active,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P01,18,1121,19,1140,19.0,9.21579,Recreational,650.229827515,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P01,23,1425,24,1443,18.0,9.21579,Recreational,650.229827515,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,9,557,9,562,5.0,1.70869,Work,1182.710360267,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,10,632,10,638,6.0,1.27292,Recreational,1182.710360267,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,10,658,11,660,2.0,0.55332,Recreational,1182.710360267,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,13,819,13,828,9.0,0.61828,Recreational,1182.710360267,Weekday,Active,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,14,840,14,842,2.0,0.09113,Recreational,1182.710360267,Weekday,Active,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,14,881,14,888,7.0,0.53707,Recreational,1182.710360267,Weekday,Active,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,18,1121,19,1140,19.0,9.21579,Recreational,1182.710360267,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740309,Y24H5740309P02,23,1425,24,1443,18.0,9.21579,Recreational,1182.710360267,Weekday,Private,1.0,City,919.2661975,18,18
Y24H5740317,Y24H5740317P01,11,705,11,717,12.0,4.4744,Recreational,628.018063666,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P01,12,735,12,736,1.0,0.05627,Recreational,628.018063666,Weekday,Active,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P01,13,795,13,807,12.0,4.43276,Recreational,628.018063666,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P01,17,1075,17,1077,2.0,0.72871,Recreational,628.018063666,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P01,19,1185,19,1187,2.0,0.72871,Recreational,628.018063666,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P02,11,705,11,717,12.0,4.4744,Recreational,692.633313734,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P02,12,725,12,727,2.0,0.16083,Work,692.633313734,Weekday,Active,2.0,City,1361.976409,14,14
