hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6130119,Y24H6130119P01,12,739,12,746,7,5.64016,Recreational,1614.475327006,Weekday,Private,2.0,City,1779.05088,12,12
Y24H5910312,Y24H5910312P03,15,938,16,979,41,4.57757,Recreational,515.796225938,Weekday,Public,2.0,City,572.7209447,17,17
Y24H5850516,Y24H5850516P01,15,920,15,955,35,9.26299,Recreational,857.631820892,Weekday,Private,1.0,Shire,604.8140675,6,6
Y24H6220409,Y24H6220409P01,17,1055,18,1093,38,14.74136,Recreational,631.903037873,Weekday,Private,2.0,City,510.119174,13,13
Y24H6210435,Y24H6210435P04,16,970,16,974,4,0.87543,Recreational,790.360023228,Weekend,Private,5.0,City,1037.931707,19,19
Y24H6230401,Y24H6230401P02,8,508,8,523,15,1.08382,Work,475.213574769,Weekday,Active,3.0,City,365.4703811,16,16
Y24H5780338,Y24H5780338P01,16,965,16,1006,41,7.62115,Recreational,478.77627882,Weekday,Public,1.0,City,440.0466004,4,4
Y24H5810123,Y24H5810123P01,21,1307,22,1340,33,35.79,Work,587.870485798,Weekday,Private,3.0,City,729.2790233,13,13
Y24H6130225,Y24H6130225P01,10,637,10,648,11,6.65019,Recreational,441.923559943,Weekday,Private,2.0,City,339.1423216,8,8
Y24H6116102,Y24H6116102P02,14,843,14,857,14,8.78584,Recreational,107.816534748,Weekday,Private,5.0,Shire,134.3448469,10,10
Y24H5760232,Y24H5760232P01,17,1020,17,1026,6,2.60721,Recreational,241.052978536,Weekday,Private,3.0,City,238.6344703,13,13
Y24H5920236,Y24H5920236P01,12,755,12,760,5,0.11826,Recreational,361.005084024,Weekday,Active,0.0,City,493.1395775,2,2
Y24H5930508,Y24H5930508P01,12,720,12,725,5,3.19715,Recreational,419.719928589,Weekday,Private,1.0,City,331.3118453,8,8
Y24H6230401,Y24H6230401P03,16,1008,16,1015,7,3.60063,Recreational,439.864986453,Weekday,Private,3.0,City,365.4703811,16,16
Y24H5810215,Y24H5810215P01,18,1110,18,1115,5,1.94281,Work,368.620153595,Weekday,Private,4.0,City,508.2911257,4,4
Y24H5910340,Y24H5910340P03,15,928,15,948,20,3.24893,Work,522.539507615,Weekday,Private,2.0,City,403.6446206,13,13
Y24H5860127,Y24H5860127P01,16,975,16,990,15,1.48738,Recreational,1636.304792235,Weekend,Active,1.0,City,1751.736389,15,15
Y24H6110324,Y24H6110324P02,8,521,8,537,16,8.54074,Work,369.966024723,Weekday,Private,3.0,City,506.6525337,13,13
Y24H6200341,Y24H6200341P02,10,607,10,616,9,3.75891,Recreational,528.664067209,Weekend,Private,1.0,City,397.1467985,16,16
Y24H5940126,Y24H5940126P03,13,810,13,815,5,1.9563,Work,1088.475033833,Weekday,Private,3.0,City,820.7444663,9,9
Y24H5790224,Y24H5790224P01,7,430,7,435,5,3.00076,Recreational,375.30951099,Weekday,Private,2.0,City,517.8287981,14,14
Y24H5810529,Y24H5810529P01,8,510,8,520,10,0.78172,Recreational,265.793548003,Weekday,Active,2.0,Shire,402.3180248,13,13
Y24H5940521,Y24H5940521P01,11,660,11,670,10,8.9675,Recreational,464.572845064,Weekend,Private,3.0,Shire,835.3597395,12,12
Y24H6130119,Y24H6130119P05,8,493,8,502,9,4.50412,Education,2851.971551173,Weekday,Private,2.0,City,1779.05088,12,12
Y24H6140225,Y24H6140225P01,13,820,14,875,55,75.66989,Recreational,483.376903825,Weekday,Private,1.0,City,516.2236716,7,7
Y24H5780405,Y24H5780405P01,10,657,11,660,3,0.19495,Recreational,245.491600142,Weekday,Active,1.0,City,261.9456049,16,16
Y24H6056112,Y24H6056112P03,7,475,8,520,45,7.682,Education,163.121274485,Weekday,Public,2.0,City,94.04440007,13,13
Y24H5910340,Y24H5910340P02,17,1068,18,1098,30,5.79546,Work,544.60399482,Weekday,Public,2.0,City,403.6446206,13,13
Y24H5830108,Y24H5830108P01,17,1024,17,1060,36,22.91275,Recreational,659.670112205,Weekday,Private,2.0,City,799.646335,13,13
Y24H6160342,Y24H6160342P02,9,555,10,600,45,2.71082,Recreational,1696.364442482,Weekend,Active,3.0,City,1344.758169,15,15
Y24H6230432,Y24H6230432P06,12,750,12,775,25,18.60336,Recreational,471.463547892,Weekday,Private,1.0,City,638.7554989,11,11
Y24H6030140,Y24H6030140P02,7,475,8,480,5,2.05812,Recreational,641.95467743,Weekday,Private,1.0,Shire,483.5795149,16,16
Y24H5770204,Y24H5770204P02,15,915,15,920,5,1.25608,Recreational,498.464979464,Weekday,Private,3.0,City,366.4512224,11,11
Y24H5810209,Y24H5810209P01,8,514,8,515,1,0.34442,Recreational,551.187798981,Weekday,Private,3.0,City,705.0588011,13,13
Y24H5910525,Y24H5910525P03,7,420,7,440,20,12.74148,Work,1014.645121949,Weekday,Private,3.0,Shire,996.5239348,17,17
Y24H5980225,Y24H5980225P01,6,414,7,428,14,0.58688,Recreational,583.832225867,Weekday,Active,2.0,City,905.5121674,11,11
Y24H5800207,Y24H5800207P01,13,810,13,820,10,4.4579,Recreational,614.162011193,Weekend,Private,2.0,City,659.5134328,18,18
Y24H5930413,Y24H5930413P03,18,1110,18,1122,12,6.80382,Recreational,569.420347105,Weekend,Private,2.0,City,589.8391001,13,13
Y24H6110203,Y24H6110203P01,14,865,14,867,2,0.40417,Work,921.243192486,Weekday,Private,2.0,City,927.8424326,14,14
Y24H5890223,Y24H5890223P05,8,510,8,520,10,3.19013,Recreational,1316.079668235,Weekday,Private,2.0,City,1236.69794,17,17
Y24H6116239,Y24H6116239P02,13,827,13,829,2,1.72725,Other,271.332983292,Weekday,Private,2.0,Shire,231.8710797,6,6
Y24H6050527,Y24H6050527P03,16,960,16,969,9,3.58161,Recreational,770.928637787,Weekend,Private,1.0,City,473.1585819,14,14
Y24H6156136,Y24H6156136P02,15,956,15,959,3,1.96795,Recreational,240.929691021,Weekday,Private,2.0,Shire,270.84712,4,4
Y24H6170420,Y24H6170420P02,11,683,11,693,10,0.67754,Recreational,1198.556324792,Weekend,Active,1.0,City,950.7351259,13,13
Y24H6190117,Y24H6190117P03,8,480,8,520,40,21.41787,Education,873.536463517,Weekday,Public,1.0,Shire,712.9919241,8,8
Y24H5830141,Y24H5830141P02,12,738,12,763,25,18.15689,Recreational,523.627920693,Weekend,Private,2.0,City,475.4909454,8,8
Y24H6050518,Y24H6050518P02,6,411,7,425,14,12.75854,Work,638.562880935,Weekday,Private,3.0,City,693.1500784,18,18
Y24H6056104,Y24H6056104P02,13,789,13,801,12,7.1442,Work,74.604131356,Weekday,Private,2.0,City,76.74407114,8,8
Y24H6030438,Y24H6030438P01,17,1037,17,1058,21,8.81542,Recreational,392.12052279,Weekday,Private,2.0,City,423.0828217,12,12
Y24H6010209,Y24H6010209P03,20,1250,20,1255,5,0.34702,Work,622.773765506,Weekday,Active,3.0,City,675.0878532,18,18
Y24H6230524,Y24H6230524P02,6,405,7,420,15,8.36302,Recreational,337.13043876,Weekday,Private,2.0,Shire,348.8795321,17,17
Y24H6150141,Y24H6150141P03,12,775,13,810,35,22.70516,Recreational,442.459723349,Weekend,Private,3.0,City,385.6695737,7,7
Y24H5760435,Y24H5760435P01,7,460,8,480,20,1.3709,Recreational,1630.116263381,Weekend,Active,1.0,City,1285.146042,2,2
Y24H5940522,Y24H5940522P01,18,1128,18,1135,7,3.23974,Recreational,657.883920872,Weekday,Private,2.0,Shire,581.8568878,18,18
Y24H5870134,Y24H5870134P02,10,603,10,617,14,10.67707,Work,589.285782435,Weekend,Private,1.0,City,649.3560927,12,12
Y24H6160209,Y24H6160209P01,12,731,12,738,7,3.68348,Recreational,759.249048104,Weekday,Private,2.0,City,688.2721926,12,12
Y24H6116218,Y24H6116218P01,7,450,7,460,10,3.22012,Work,247.611768429,Weekday,Private,2.0,Shire,231.8710797,5,5
Y24H6250105,Y24H6250105P01,7,465,7,470,5,1.83203,Work,967.912054821,Weekday,Private,4.0,City,1282.693646,16,16
Y24H6190308,Y24H6190308P04,19,1140,19,1150,10,0.32986,Recreational,1804.351416244,Weekday,Active,1.0,City,404.7863583,9,9
Y24H6136209,Y24H6136209P01,7,467,7,479,12,8.30073,Work,323.533763027,Weekday,Private,3.0,City,462.9942158,6,6
Y24H5780406,Y24H5780406P02,10,633,10,636,3,0.11656,Recreational,295.428771585,Weekend,Active,1.0,City,252.0612366,9,9
Y24H5870430,Y24H5870430P01,5,342,6,403,61,10.17131,Work,561.808973174,Weekday,Public,0.0,City,647.7128613,12,12
Y24H5880209,Y24H5880209P01,8,489,8,492,3,0.81407,Recreational,244.928022814,Weekday,Private,1.0,Shire,283.990077,6,6
Y24H5760533,Y24H5760533P02,16,970,16,1012,42,25.67162,Work,520.832388802,Weekday,Private,2.0,City,412.6478577,13,13
Y24H5950215,Y24H5950215P02,8,535,9,555,20,14.34139,Recreational,239.793445446,Weekday,Private,1.0,City,330.8521314,12,12
Y24H6110504,Y24H6110504P02,15,941,15,951,10,5.34518,Other,900.118780248,Weekday,Private,2.0,Shire,994.4577565,12,12
Y24H6130436,Y24H6130436P04,17,1022,17,1046,24,10.9875,Work,3647.117894952,Weekday,Private,4.0,City,2815.401816,13,13
Y24H6200333,Y24H6200333P02,19,1155,19,1175,20,21.08821,Work,400.354742829,Weekday,Private,3.0,City,400.6253853,2,2
Y24H6010222,Y24H6010222P03,20,1205,20,1230,25,0.79206,Recreational,350.519639304,Weekday,Active,1.0,City,379.9639033,17,17
